id;contract;employee;overtime;startdate;enddate;type;days;description
147;17;;;2019-01-01;2019-12-31;4;12;Sick Leave
148;17;;;2019-01-01;2019-12-31;7;2;Compensionate Leave
149;17;;;2019-01-01;2019-12-31;8;3;Marriage Leave - own
150;17;;;2019-01-01;2019-12-31;9;2;Marriage Leave - dependant
151;17;;;2019-01-01;2019-12-31;10;2;Children Circumcision
152;17;;;2019-01-01;2019-12-31;11;2;Children Baptism
153;17;;;2019-01-01;2019-12-31;12;30;Pilgirm
154;18;;;2019-01-01;2019-12-31;1;16;Annual Paid Leave
155;18;;;2019-01-01;2019-12-31;2;90;Maternity Leave
156;18;;;2019-01-01;2019-12-31;4;12;Sick Leave
157;18;;;2019-01-01;2019-12-31;7;2;Compensionate Leave
158;18;;;2019-01-01;2019-12-31;8;3;Marriage Leave - own
159;18;;;2019-01-01;2019-12-31;9;2;Marriage Leave - dependant
160;18;;;2019-01-01;2019-12-31;10;2;Children Circumcision
161;18;;;2019-01-01;2019-12-31;11;2;Children Baptism
162;18;;;2019-01-01;2019-12-31;12;30;Pilgirm
163;1;;;2020-01-01;2020-12-31;1;16;Annual Paid Leave
164;1;;;2020-01-01;2020-12-31;3;2;Paternity Leave
165;1;;;2020-01-01;2020-12-31;4;12;Sick Leave
166;1;;;2020-01-01;2020-12-31;7;2;Compensionate Leave
167;1;;;2020-01-01;2020-12-31;8;3;Marriage Leave - own
168;1;;;2020-01-01;2020-12-31;9;2;Marriage Leave - dependant
169;1;;;2020-01-01;2020-12-31;10;2;Children Circumcision
170;1;;;2020-01-01;2020-12-31;11;2;Children Baptism
171;1;;;2020-01-01;2020-12-31;12;30;Pilgirm
172;2;;;2020-01-01;2020-12-31;1;18;Annual Paid Leave
173;2;;;2020-01-01;2020-12-31;3;2;Paternity Leave
174;2;;;2020-01-01;2020-12-31;4;12;Sick Leave
175;2;;;2020-01-01;2020-12-31;7;2;Compensionate Leave
176;2;;;2020-01-01;2020-12-31;8;3;Marriage Leave - own
177;2;;;2020-01-01;2020-12-31;9;2;Marriage Leave - dependant
178;2;;;2020-01-01;2020-12-31;10;2;Children Circumcision
179;2;;;2020-01-01;2020-12-31;11;2;Children Baptism
180;2;;;2020-01-01;2020-12-31;12;30;Pilgirm
181;3;;;2020-01-01;2020-12-31;1;20;Annual Paid Leave
182;3;;;2020-01-01;2020-12-31;3;2;Paternity Leave
183;3;;;2020-01-01;2020-12-31;4;12;Sick Leave
184;3;;;2020-01-01;2020-12-31;7;2;Compensionate Leave
185;3;;;2020-01-01;2020-12-31;8;3;Marriage Leave - own
186;3;;;2020-01-01;2020-12-31;9;2;Marriage Leave - dependant
187;3;;;2020-01-01;2020-12-31;10;2;Children Circumcision
188;3;;;2020-01-01;2020-12-31;11;2;Children Baptism
189;3;;;2020-01-01;2020-12-31;12;30;Pilgirm
190;4;;;2020-01-01;2020-12-31;1;14;Annual Paid Leave
191;4;;;2020-01-01;2020-12-31;3;2;Paternity Leave
192;4;;;2020-01-01;2020-12-31;4;12;Sick Leave
193;4;;;2020-01-01;2020-12-31;7;2;Compensionate Leave
194;4;;;2020-01-01;2020-12-31;8;3;Marriage Leave - own
195;4;;;2020-01-01;2020-12-31;9;2;Marriage Leave - dependant
196;4;;;2020-01-01;2020-12-31;10;2;Children Circumcision
197;4;;;2020-01-01;2020-12-31;11;2;Children Baptism
198;4;;;2020-01-01;2020-12-31;12;30;Pilgirm
199;5;;;2020-01-01;2020-12-31;1;16;Annual Paid Leave
200;5;;;2020-01-01;2020-12-31;3;2;Paternity Leave
201;5;;;2020-01-01;2020-12-31;4;12;Sick Leave
202;5;;;2020-01-01;2020-12-31;7;2;Compensionate Leave
203;5;;;2020-01-01;2020-12-31;8;3;Marriage Leave - own
204;5;;;2020-01-01;2020-12-31;9;2;Marriage Leave - dependant
205;5;;;2020-01-01;2020-12-31;10;2;Children Circumcision
206;5;;;2020-01-01;2020-12-31;11;2;Children Baptism
207;5;;;2020-01-01;2020-12-31;12;30;Pilgirm
208;6;;;2020-01-01;2020-12-31;1;18;Annual Paid Leave
209;6;;;2020-01-01;2020-12-31;3;2;Paternity Leave
210;6;;;2020-01-01;2020-12-31;4;12;Sick Leave
211;6;;;2020-01-01;2020-12-31;7;2;Compensionate Leave
212;6;;;2020-01-01;2020-12-31;8;3;Marriage Leave - own
213;6;;;2020-01-01;2020-12-31;9;2;Marriage Leave - dependant
214;6;;;2020-01-01;2020-12-31;10;2;Children Circumcision
215;6;;;2020-01-01;2020-12-31;11;2;Children Baptism
216;6;;;2020-01-01;2020-12-31;12;30;Pilgirm
217;7;;;2020-01-01;2020-12-31;1;12;Annual Paid Leave
218;7;;;2020-01-01;2020-12-31;3;2;Paternity Leave
219;7;;;2020-01-01;2020-12-31;4;12;Sick Leave
220;7;;;2020-01-01;2020-12-31;7;2;Compensionate Leave
221;7;;;2020-01-01;2020-12-31;8;3;Marriage Leave - own
222;7;;;2020-01-01;2020-12-31;9;2;Marriage Leave - dependant
223;7;;;2020-01-01;2020-12-31;10;2;Children Circumcision
224;7;;;2020-01-01;2020-12-31;11;2;Children Baptism
225;7;;;2020-01-01;2020-12-31;12;30;Pilgirm
226;8;;;2020-01-01;2020-12-31;1;14;Annual Paid Leave
227;8;;;2020-01-01;2020-12-31;3;2;Paternity Leave
228;8;;;2020-01-01;2020-12-31;4;12;Sick Leave
229;8;;;2020-01-01;2020-12-31;7;2;Compensionate Leave
230;8;;;2020-01-01;2020-12-31;8;3;Marriage Leave - own
231;8;;;2020-01-01;2020-12-31;9;2;Marriage Leave - dependant
232;8;;;2020-01-01;2020-12-31;10;2;Children Circumcision
233;8;;;2020-01-01;2020-12-31;11;2;Children Baptism
234;8;;;2020-01-01;2020-12-31;12;30;Pilgirm
235;9;;;2020-01-01;2020-12-31;1;16;Annual Paid Leave
236;9;;;2020-01-01;2020-12-31;3;2;Paternity Leave
237;9;;;2020-01-01;2020-12-31;4;12;Sick Leave
238;9;;;2020-01-01;2020-12-31;7;2;Compensionate Leave
239;9;;;2020-01-01;2020-12-31;8;3;Marriage Leave - own
240;9;;;2020-01-01;2020-12-31;9;2;Marriage Leave - dependant
241;9;;;2020-01-01;2020-12-31;10;2;Children Circumcision
242;9;;;2020-01-01;2020-12-31;11;2;Children Baptism
243;9;;;2020-01-01;2020-12-31;12;30;Pilgirm
244;10;;;2020-01-01;2020-12-31;1;16;Annual Paid Leave
245;10;;;2020-01-01;2020-12-31;2;90;Maternity Leave
246;10;;;2020-01-01;2020-12-31;4;12;Sick Leave
247;10;;;2020-01-01;2020-12-31;7;2;Compensionate Leave
248;10;;;2020-01-01;2020-12-31;8;3;Marriage Leave - own
249;10;;;2020-01-01;2020-12-31;9;2;Marriage Leave - dependant
250;10;;;2020-01-01;2020-12-31;10;2;Children Circumcision
251;10;;;2020-01-01;2020-12-31;11;2;Children Baptism
252;10;;;2020-01-01;2020-12-31;12;30;Pilgirm
253;11;;;2020-01-01;2020-12-31;1;18;Annual Paid Leave
254;11;;;2020-01-01;2020-12-31;2;90;Maternity Leave
255;11;;;2020-01-01;2020-12-31;4;12;Sick Leave
256;11;;;2020-01-01;2020-12-31;7;2;Compensionate Leave
257;11;;;2020-01-01;2020-12-31;8;3;Marriage Leave - own
258;11;;;2020-01-01;2020-12-31;9;2;Marriage Leave - dependant
259;11;;;2020-01-01;2020-12-31;10;2;Children Circumcision
260;11;;;2020-01-01;2020-12-31;11;2;Children Baptism
261;11;;;2020-01-01;2020-12-31;12;30;Pilgirm
262;12;;;2020-01-01;2020-12-31;1;20;Annual Paid Leave
263;12;;;2020-01-01;2020-12-31;2;90;Maternity Leave
264;12;;;2020-01-01;2020-12-31;4;12;Sick Leave
265;12;;;2020-01-01;2020-12-31;7;2;Compensionate Leave
266;12;;;2020-01-01;2020-12-31;8;3;Marriage Leave - own
267;12;;;2020-01-01;2020-12-31;9;2;Marriage Leave - dependant
268;12;;;2020-01-01;2020-12-31;10;2;Children Circumcision
269;12;;;2020-01-01;2020-12-31;11;2;Children Baptism
270;12;;;2020-01-01;2020-12-31;12;30;Pilgirm
271;13;;;2020-01-01;2020-12-31;1;14;Annual Paid Leave
272;13;;;2020-01-01;2020-12-31;2;90;Maternity Leave
273;13;;;2020-01-01;2020-12-31;4;12;Sick Leave
274;13;;;2020-01-01;2020-12-31;7;2;Compensionate Leave
275;13;;;2020-01-01;2020-12-31;8;3;Marriage Leave - own
276;13;;;2020-01-01;2020-12-31;9;2;Marriage Leave - dependant
277;13;;;2020-01-01;2020-12-31;10;2;Children Circumcision
278;13;;;2020-01-01;2020-12-31;11;2;Children Baptism
279;13;;;2020-01-01;2020-12-31;12;30;Pilgirm
280;14;;;2020-01-01;2020-12-31;1;16;Annual Paid Leave
281;14;;;2020-01-01;2020-12-31;2;90;Maternity Leave
282;14;;;2020-01-01;2020-12-31;4;12;Sick Leave
283;14;;;2020-01-01;2020-12-31;7;2;Compensionate Leave
284;14;;;2020-01-01;2020-12-31;8;3;Marriage Leave - own
285;14;;;2020-01-01;2020-12-31;9;2;Marriage Leave - dependant
286;14;;;2020-01-01;2020-12-31;10;2;Children Circumcision
287;14;;;2020-01-01;2020-12-31;11;2;Children Baptism
288;14;;;2020-01-01;2020-12-31;12;30;Pilgirm
289;15;;;2020-01-01;2020-12-31;1;18;Annual Paid Leave
290;15;;;2020-01-01;2020-12-31;2;90;Maternity Leave
291;15;;;2020-01-01;2020-12-31;4;12;Sick Leave
292;15;;;2020-01-01;2020-12-31;7;2;Compensionate Leave
293;15;;;2020-01-01;2020-12-31;8;3;Marriage Leave - own
294;15;;;2020-01-01;2020-12-31;9;2;Marriage Leave - dependant
295;15;;;2020-01-01;2020-12-31;10;2;Children Circumcision
296;15;;;2020-01-01;2020-12-31;11;2;Children Baptism
297;15;;;2020-01-01;2020-12-31;12;30;Pilgirm
298;16;;;2020-01-01;2020-12-31;1;12;Annual Paid Leave
299;16;;;2020-01-01;2020-12-31;2;90;Maternity Leave
300;16;;;2020-01-01;2020-12-31;4;12;Sick Leave
301;16;;;2020-01-01;2020-12-31;7;2;Compensionate Leave
302;16;;;2020-01-01;2020-12-31;8;3;Marriage Leave - own
303;16;;;2020-01-01;2020-12-31;9;2;Marriage Leave - dependant
304;16;;;2020-01-01;2020-12-31;10;2;Children Circumcision
305;16;;;2020-01-01;2020-12-31;11;2;Children Baptism
306;16;;;2020-01-01;2020-12-31;12;30;Pilgirm
307;17;;;2020-01-01;2020-12-31;1;14;Annual Paid Leave
308;17;;;2020-01-01;2020-12-31;2;90;Maternity Leave
309;17;;;2020-01-01;2020-12-31;4;12;Sick Leave
310;17;;;2020-01-01;2020-12-31;7;2;Compensionate Leave
311;17;;;2020-01-01;2020-12-31;8;3;Marriage Leave - own
312;17;;;2020-01-01;2020-12-31;9;2;Marriage Leave - dependant
313;17;;;2020-01-01;2020-12-31;10;2;Children Circumcision
314;17;;;2020-01-01;2020-12-31;11;2;Children Baptism
315;17;;;2020-01-01;2020-12-31;12;30;Pilgirm
316;18;;;2020-01-01;2020-12-31;1;16;Annual Paid Leave
317;18;;;2020-01-01;2020-12-31;2;90;Maternity Leave
318;18;;;2020-01-01;2020-12-31;4;12;Sick Leave
319;18;;;2020-01-01;2020-12-31;7;2;Compensionate Leave
320;18;;;2020-01-01;2020-12-31;8;3;Marriage Leave - own
321;18;;;2020-01-01;2020-12-31;9;2;Marriage Leave - dependant
322;18;;;2020-01-01;2020-12-31;10;2;Children Circumcision
323;18;;;2020-01-01;2020-12-31;11;2;Children Baptism
324;18;;;2020-01-01;2020-12-31;12;30;Pilgirm
325;1;;;2021-01-01;2021-12-31;1;16;Annual Paid Leave
326;1;;;2021-01-01;2021-12-31;3;2;Paternity Leave
327;1;;;2021-01-01;2021-12-31;4;12;Sick Leave
328;1;;;2021-01-01;2021-12-31;7;2;Compensionate Leave
329;1;;;2021-01-01;2021-12-31;8;3;Marriage Leave - own
330;1;;;2021-01-01;2021-12-31;9;2;Marriage Leave - dependant
331;1;;;2021-01-01;2021-12-31;10;2;Children Circumcision
332;1;;;2021-01-01;2021-12-31;11;2;Children Baptism
333;1;;;2021-01-01;2021-12-31;12;30;Pilgirm
334;2;;;2021-01-01;2021-12-31;1;18;Annual Paid Leave
335;2;;;2021-01-01;2021-12-31;3;2;Paternity Leave
336;2;;;2021-01-01;2021-12-31;4;12;Sick Leave
337;2;;;2021-01-01;2021-12-31;7;2;Compensionate Leave
338;2;;;2021-01-01;2021-12-31;8;3;Marriage Leave - own
339;2;;;2021-01-01;2021-12-31;9;2;Marriage Leave - dependant
340;2;;;2021-01-01;2021-12-31;10;2;Children Circumcision
341;2;;;2021-01-01;2021-12-31;11;2;Children Baptism
342;2;;;2021-01-01;2021-12-31;12;30;Pilgirm
343;3;;;2021-01-01;2021-12-31;1;20;Annual Paid Leave
344;3;;;2021-01-01;2021-12-31;3;2;Paternity Leave
345;3;;;2021-01-01;2021-12-31;4;12;Sick Leave
346;3;;;2021-01-01;2021-12-31;7;2;Compensionate Leave
347;3;;;2021-01-01;2021-12-31;8;3;Marriage Leave - own
348;3;;;2021-01-01;2021-12-31;9;2;Marriage Leave - dependant
349;3;;;2021-01-01;2021-12-31;10;2;Children Circumcision
350;3;;;2021-01-01;2021-12-31;11;2;Children Baptism
351;3;;;2021-01-01;2021-12-31;12;30;Pilgirm
352;4;;;2021-01-01;2021-12-31;1;14;Annual Paid Leave
353;4;;;2021-01-01;2021-12-31;3;2;Paternity Leave
354;4;;;2021-01-01;2021-12-31;4;12;Sick Leave
355;4;;;2021-01-01;2021-12-31;7;2;Compensionate Leave
356;4;;;2021-01-01;2021-12-31;8;3;Marriage Leave - own
357;4;;;2021-01-01;2021-12-31;9;2;Marriage Leave - dependant
358;4;;;2021-01-01;2021-12-31;10;2;Children Circumcision
359;4;;;2021-01-01;2021-12-31;11;2;Children Baptism
360;4;;;2021-01-01;2021-12-31;12;30;Pilgirm
361;5;;;2021-01-01;2021-12-31;1;16;Annual Paid Leave
362;5;;;2021-01-01;2021-12-31;3;2;Paternity Leave
363;5;;;2021-01-01;2021-12-31;4;12;Sick Leave
364;5;;;2021-01-01;2021-12-31;7;2;Compensionate Leave
365;5;;;2021-01-01;2021-12-31;8;3;Marriage Leave - own
366;5;;;2021-01-01;2021-12-31;9;2;Marriage Leave - dependant
367;5;;;2021-01-01;2021-12-31;10;2;Children Circumcision
368;5;;;2021-01-01;2021-12-31;11;2;Children Baptism
369;5;;;2021-01-01;2021-12-31;12;30;Pilgirm
370;6;;;2021-01-01;2021-12-31;1;18;Annual Paid Leave
371;6;;;2021-01-01;2021-12-31;3;2;Paternity Leave
372;6;;;2021-01-01;2021-12-31;4;12;Sick Leave
373;6;;;2021-01-01;2021-12-31;7;2;Compensionate Leave
374;6;;;2021-01-01;2021-12-31;8;3;Marriage Leave - own
375;6;;;2021-01-01;2021-12-31;9;2;Marriage Leave - dependant
376;6;;;2021-01-01;2021-12-31;10;2;Children Circumcision
377;6;;;2021-01-01;2021-12-31;11;2;Children Baptism
378;6;;;2021-01-01;2021-12-31;12;30;Pilgirm
379;7;;;2021-01-01;2021-12-31;1;12;Annual Paid Leave
380;7;;;2021-01-01;2021-12-31;3;2;Paternity Leave
381;7;;;2021-01-01;2021-12-31;4;12;Sick Leave
382;7;;;2021-01-01;2021-12-31;7;2;Compensionate Leave
383;7;;;2021-01-01;2021-12-31;8;3;Marriage Leave - own
384;7;;;2021-01-01;2021-12-31;9;2;Marriage Leave - dependant
385;7;;;2021-01-01;2021-12-31;10;2;Children Circumcision
386;7;;;2021-01-01;2021-12-31;11;2;Children Baptism
387;7;;;2021-01-01;2021-12-31;12;30;Pilgirm
388;8;;;2021-01-01;2021-12-31;1;14;Annual Paid Leave
389;8;;;2021-01-01;2021-12-31;3;2;Paternity Leave
390;8;;;2021-01-01;2021-12-31;4;12;Sick Leave
391;8;;;2021-01-01;2021-12-31;7;2;Compensionate Leave
392;8;;;2021-01-01;2021-12-31;8;3;Marriage Leave - own
393;8;;;2021-01-01;2021-12-31;9;2;Marriage Leave - dependant
394;8;;;2021-01-01;2021-12-31;10;2;Children Circumcision
395;8;;;2021-01-01;2021-12-31;11;2;Children Baptism
396;8;;;2021-01-01;2021-12-31;12;30;Pilgirm
397;9;;;2021-01-01;2021-12-31;1;16;Annual Paid Leave
398;9;;;2021-01-01;2021-12-31;3;2;Paternity Leave
399;9;;;2021-01-01;2021-12-31;4;12;Sick Leave
400;9;;;2021-01-01;2021-12-31;7;2;Compensionate Leave
401;9;;;2021-01-01;2021-12-31;8;3;Marriage Leave - own
402;9;;;2021-01-01;2021-12-31;9;2;Marriage Leave - dependant
403;9;;;2021-01-01;2021-12-31;10;2;Children Circumcision
404;9;;;2021-01-01;2021-12-31;11;2;Children Baptism
405;9;;;2021-01-01;2021-12-31;12;30;Pilgirm
406;10;;;2021-01-01;2021-12-31;1;16;Annual Paid Leave
407;10;;;2021-01-01;2021-12-31;2;90;Maternity Leave
408;10;;;2021-01-01;2021-12-31;4;12;Sick Leave
409;10;;;2021-01-01;2021-12-31;7;2;Compensionate Leave
410;10;;;2021-01-01;2021-12-31;8;3;Marriage Leave - own
411;10;;;2021-01-01;2021-12-31;9;2;Marriage Leave - dependant
412;10;;;2021-01-01;2021-12-31;10;2;Children Circumcision
413;10;;;2021-01-01;2021-12-31;11;2;Children Baptism
414;10;;;2021-01-01;2021-12-31;12;30;Pilgirm
415;11;;;2021-01-01;2021-12-31;1;18;Annual Paid Leave
416;11;;;2021-01-01;2021-12-31;2;90;Maternity Leave
417;11;;;2021-01-01;2021-12-31;4;12;Sick Leave
418;11;;;2021-01-01;2021-12-31;7;2;Compensionate Leave
419;11;;;2021-01-01;2021-12-31;8;3;Marriage Leave - own
420;11;;;2021-01-01;2021-12-31;9;2;Marriage Leave - dependant
421;11;;;2021-01-01;2021-12-31;10;2;Children Circumcision
422;11;;;2021-01-01;2021-12-31;11;2;Children Baptism
423;11;;;2021-01-01;2021-12-31;12;30;Pilgirm
424;12;;;2021-01-01;2021-12-31;1;20;Annual Paid Leave
425;12;;;2021-01-01;2021-12-31;2;90;Maternity Leave
426;12;;;2021-01-01;2021-12-31;4;12;Sick Leave
427;12;;;2021-01-01;2021-12-31;7;2;Compensionate Leave
